fire_year,smoke_density_estimate
1964,0.048401982125991
1965,0.027458795856640662
1966,0.03742399808303081
1967,0.1877195002511025
1968,0.6238271702312695
1969,0.05134843851046787
1970,0.10304042816136887
1971,0.5761460493535053
1972,0.3472602180897745
1973,0.20278172443219017
1974,0.6197308947961965
1975,0.23081319661205174
1976,0.2669466643772491
1977,0.5194038679931272
1978,0.17030303134389493
1979,0.7069638049419088
1980,0.5457442670274852
1981,0.1331565963153436
1982,0.0987733528488144
1983,0.3537939310975868
1984,0.6323084875507247
1985,1.2212356381057985
1986,1.2925518272949883
1987,2.786409536956496
1988,12.656132881804929
1989,9.572630712781883
1990,6.579785108848904
1991,5.960724136510367
1992,4.760368662386094
1993,13.822033554749797
1994,14.225143433835653
1995,5.548225230842314
1996,12.776861298239737
1997,6.6522576718904425
1998,9.639689447979837
1999,6.159747040685053
2000,13.658206263104699
2001,8.229672262576157
2002,16.512512300568133
2003,8.77136465305388
2004,9.452592625294043
2005,11.23114407016678
2006,26.651724734056618
2007,6.888296173852797
2008,32.00080317418652
2009,20.336487370463594
2010,6.677144320959262
2011,29.02173144823064
2012,8.722316148875308
2013,6.750443667463383
2014,12.455137436978344
2015,10.634954515813249
2016,14.566159964724228
2017,19.873679522716767
2018,16.81658713956478
2019,6.668239015529036
2020,8.242814960255817
